8,7,1,18180,18180,"[7, 4, 20, 17, 1, 5, 9, 11, 23, 15, 14, 10, 12, 2, 22, 16, 21, 24, 13, 8, 6, 3, 19, 18]","[7, 4, 20, 17, 1, 5, 9, 11, 23, 15, 14, 10, 12, 2, 22, 16, 21, 24, 13, 8, 6, 3, 19, 18]",1000000,0.00015425682067871094,0.9991903279614445
8,7,2,18990,18180,"[7, 4, 12, 2, 22, 16, 21, 24, 13, 8, 6, 3, 5, 1, 17, 20, 10, 14, 15, 23, 11, 9, 19, 18]","[7, 4, 20, 17, 1, 5, 9, 11, 23, 15, 14, 10, 12, 2, 22, 16, 21, 24, 13, 8, 6, 3, 19, 18]",1000000,0.0002880096435546875,0.9983333903388641
8,7,3,20658,18180,"[7, 21, 16, 22, 2, 12, 4, 24, 13, 8, 6, 3, 5, 1, 17, 20, 10, 14, 15, 23, 11, 9, 19, 18]","[7, 4, 20, 17, 1, 5, 9, 11, 23, 15, 14, 10, 12, 2, 22, 16, 21, 24, 13, 8, 6, 3, 19, 18]",1000000,0.00041747093200683594,
8,7,4,20416,18180,"[7, 21, 16, 2, 22, 12, 4, 24, 13, 8, 6, 3, 5, 1, 17, 20, 10, 14, 15, 23, 11, 9, 19, 18]","[7, 4, 20, 17, 1, 5, 9, 11, 23, 15, 14, 10, 12, 2, 22, 16, 21, 24, 13, 8, 6, 3, 19, 18]",1000000,0.0005462169647216797,
8,7,5,20158,18180,"[7, 21, 16, 2, 22, 12, 4, 24, 13, 8, 6, 3, 5, 1, 17, 20, 10, 11, 23, 15, 14, 9, 19, 18]","[7, 4, 20, 17, 1, 5, 9, 11, 23, 15, 14, 10, 12, 2, 22, 16, 21, 24, 13, 8, 6, 3, 19, 18]",1000000,0.0006763935089111328,
8,7,6,16246,16246,"[7, 21, 16, 2, 22, 5, 3, 6, 8, 13, 24, 4, 12, 1, 17, 20, 10, 11, 23, 15, 14, 9, 19, 18]","[7, 21, 16, 2, 22, 12, 4, 24, 13, 8, 6, 3, 5, 1, 17, 20, 10, 11, 23, 15, 14, 9, 19, 18]",1000000,0.0008082389831542969,
8,7,7,15214,15214,"[15, 23, 11, 10, 20, 17, 1, 12, 4, 24, 13, 8, 6, 3, 5, 22, 2, 16, 21, 7, 14, 9, 19, 18]","[7, 21, 16, 2, 22, 5, 3, 6, 8, 13, 24, 4, 12, 1, 17, 20, 10, 11, 23, 15, 14, 9, 19, 18]",1000000,0.0009391307830810547,0.9974313047581136
8,7,8,17786,15214,"[15, 7, 21, 16, 2, 22, 5, 3, 6, 8, 13, 24, 4, 12, 1, 17, 20, 10, 11, 23, 14, 9, 19, 18]","[7, 21, 16, 2, 22, 5, 3, 6, 8, 13, 24, 4, 12, 1, 17, 20, 10, 11, 23, 15, 14, 9, 19, 18]",1000000,0.0010707378387451172,0.9987028420376389
8,7,9,19084,15214,"[15, 7, 19, 9, 14, 23, 11, 10, 20, 17, 1, 12, 4, 24, 13, 8, 6, 3, 5, 22, 2, 16, 21, 18]","[7, 21, 16, 2, 22, 5, 3, 6, 8, 13, 24, 4, 12, 1, 17, 20, 10, 11, 23, 15, 14, 9, 19, 18]",1000000,0.0012128353118896484,
8,7,10,17578,15214,"[15, 7, 19, 9, 14, 21, 16, 2, 22, 5, 3, 6, 8, 13, 24, 4, 12, 1, 17, 20, 10, 11, 23, 18]","[7, 21, 16, 2, 22, 5, 3, 6, 8, 13, 24, 4, 12, 1, 17, 20, 10, 11, 23, 15, 14, 9, 19, 18]",1000000,0.0013387203216552734,
